Vmax_A_mol_m2_s,eps_membrane,apical_ratio,Da,clearance_uL_min_cm2
1e-09,0.1,10.0,0.022886452677687755,nan
1.7782794100389228e-09,0.1,10.0,0.0406985075655623,0.08075456564519451
3.1622776601683795e-09,0.1,10.0,0.07237331802315278,0.14272484922753523
5.623413251903491e-09,0.1,10.0,0.12869998127677146,0.2509630794471206
1e-08,0.1,10.0,0.22886452677687752,0.4369382518932425
1.7782794100389228e-08,0.1,10.0,0.40698507565562303,0.7453213631695949
3.162277660168379e-08,0.1,10.0,0.7237331802315277,1.2135043655620916
5.6234132519034905e-08,0.1,10.0,1.2869998127677142,1.7729865758234356
1e-07,0.1,10.0,2.288645267768775,2.1865789026047446
1.7782794100389227e-07,0.1,10.0,4.06985075655623,2.3899696280484886
3.162277660168379e-07,0.1,10.0,7.237331802315277,2.4838558392684367
5.62341325190349e-07,0.1,10.0,12.869998127677142,2.5299865466735665
1e-06,0.1,10.0,22.886452677687753,2.553936838452683
1.7782794100389227e-06,0.1,10.0,40.6985075655623,2.5668046049401805
3.162277660168379e-06,0.1,10.0,72.37331802315276,2.573856463082274
5.623413251903491e-06,0.1,10.0,128.69998127677144,2.5777647999773867
9.999999999999999e-06,0.1,10.0,228.8645267768775,2.5799447140618494
1.778279410038923e-05,0.1,10.0,406.98507565562306,2.581164942191354
3.1622776601683795e-05,0.1,10.0,723.7331802315277,2.581849352553244
5.623413251903491e-05,0.1,10.0,1286.9998127677143,2.582233664888905
0.0001,0.1,10.0,2288.6452677687753,2.582449602732742
0.00017782794100389227,0.1,10.0,4069.85075655623,2.582570977610274
0.00031622776601683794,0.1,10.0,7237.331802315277,2.58263921404009
0.0005623413251903491,0.1,10.0,12869.998127677145,2.5826775806335562
0.001,0.1,10.0,22886.452677687754,2.582699153982452
1e-09,0.15000000000000002,10.0,0.0152576351184585,nan
1.7782794100389228e-09,0.15000000000000002,10.0,0.02713233837704153,0.08089917325092792
3.1622776601683795e-09,0.15000000000000002,10.0,0.048248878682101835,0.14319288642416236
5.623413251903491e-09,0.15000000000000002,10.0,0.0857999875178476,0.25250514020727405
1e-08,0.15000000000000002,10.0,0.15257635118458499,0.4421776178874432
1.7782794100389228e-08,0.15000000000000002,10.0,0.2713233837704153,nan
3.162277660168379e-08,0.15000000000000002,10.0,0.4824887868210183,1.2844722824362327
5.6234132519034905e-08,0.15000000000000002,10.0,0.8579998751784761,2.0318841253356488
1e-07,0.15000000000000002,10.0,1.52576351184585,2.828326570147347
1.7782794100389227e-07,0.15000000000000002,10.0,2.713233837704153,3.3489778503785366
3.162277660168379e-07,0.15000000000000002,10.0,4.824887868210183,3.5988425084076687
5.62341325190349e-07,0.15000000000000002,10.0,8.57999875178476,3.7170491003202386
1e-06,0.15000000000000002,10.0,15.257635118458499,3.7763948806146197
1.7782794100389227e-06,0.15000000000000002,10.0,27.132338377041528,3.8076134703064013
3.162277660168379e-06,0.15000000000000002,10.0,48.24887868210183,3.8245124326900277
5.623413251903491e-06,0.15000000000000002,10.0,85.79998751784761,3.8338126378592774
9.999999999999999e-06,0.15000000000000002,10.0,152.57635118458498,3.8389792977444888
1.778279410038923e-05,0.15000000000000002,10.0,271.3233837704153,3.8418648910763844
3.1622776601683795e-05,0.15000000000000002,10.0,482.4887868210184,3.8434813366582294
5.623413251903491e-05,0.15000000000000002,10.0,857.999875178476,3.8443883621218684
0.0001,0.15000000000000002,10.0,1525.76351184585,3.844897798232509
0.00017782794100389227,0.15000000000000002,10.0,2713.233837704153,3.8451840787759073
0.00031622776601683794,0.15000000000000002,10.0,4824.887868210184,3.845345004062403
0.0005623413251903491,0.15000000000000002,10.0,8579.998751784762,3.8454354793804453
0.001,0.15000000000000002,10.0,15257.635118458498,3.845486351181484
1e-09,0.2,10.0,0.011443226338843877,nan
1.7782794100389228e-09,0.2,10.0,0.02034925378278115,0.08097073347162763
