Vmax_A_mol_m2_s,Vmax_ap_mol_m2_s,apical_ratio,Da,clearance_uL_min_cm2,J_BM_mol_m2_s,J_OAT1_mol_m2_s,J_CD_mol_m2_s,c_extra_MC_mol_m3,c_cell_MC_mol_m3,c_cell_CD_mol_m3,J_OAT1_capacity_mol_m2_s,J_membrane_capacity_mol_m2_s,J_apical_capacity_mol_m2_s,bottleneck,success
1e-09,1.0000000000000002e-10,0.1,0.0050858783728195,0.004873260614896576,1.353683504137938e-10,8.122101024827628e-11,7.520463911877434e-11,0.09995869198205407,0.060663023135123624,0.060660222573514826,1e-09,1.9662286958026913e-07,1.0000000000000002e-10,apical,True
1.4125375446227555e-09,1.4125375446227556e-10,0.1,0.007183994148992432,0.0068835081791927865,1.91208560533133e-10,1.1472513631987979e-10,1.0622697807396277e-10,0.09994165219037592,0.06065533758441431,0.06065138177530412,1.4125375446227555e-09,1.9662286958026913e-07,1.4125375446227556e-10,apical,False
1.9952623149688828e-09,1.9952623149688828e-10,0.1,0.010147661455802011,0.009722666022299528,2.7007405617498695e-10,1.6204443370499214e-10,1.500411423194372e-10,0.09991758617191347,0.06064652067754412,0.060640933263418566,1.9952623149688828e-09,1.9662286958026913e-07,1.9952623149688828e-10,apical,True
2.8183829312644493e-09,2.8183829312644494e-10,0.1,0.014333952796441491,0.013732818949757872,3.8146719304882987e-10,2.2888031582929788e-10,2.1192621836046103e-10,0.09988359425389574,0.060632354809858034,0.06062446284417793,2.8183829312644493e-09,1.9662286958026913e-07,2.8183829312644494e-10,apical,False
3.981071705534969e-09,3.9810717055349694e-10,0.1,0.02024724648782394,0.019396212998010007,5.38783694389167e-10,3.2327021663350013e-10,2.993242746606483e-10,0.09983558869965155,0.06061358470734822,0.0606024381067925,3.981071705534969e-09,1.9662286958026913e-07,3.9810717055349694e-10,apical,True
5.623413251903491e-09,5.623413251903491e-10,0.1,0.028599995839282542,0.027394385825614022,7.60955161822612e-10,4.565730970935671e-10,4.2275286767922886e-10,0.09976779247381584,0.06058609433933824,0.06057035135506451,5.623413251903491e-09,1.9662286958026913e-07,5.623413251903491e-10,apical,False
7.943282347242822e-09,7.943282347242823e-10,0.1,0.040398567899041185,0.03868834698434425,1.074676305120674e-09,6.448057830724042e-10,5.970423917337076e-10,0.09967205962128278,0.060547844344883785,0.0605256109558176,7.943282347242822e-09,1.9662286958026913e-07,7.943282347242823e-10,apical,True
1.122018454301963e-08,1.122018454301963e-09,0.1,0.05706449390638719,0.05463454829600718,1.5176263415557554e-09,9.10575804933453e-10,8.43125745308753e-10,0.09953689221689019,0.06049334525593126,0.060461947916340325,1.122018454301963e-08,1.9662286958026913e-07,1.122018454301963e-09,apical,False
1.584893192461114e-08,1.584893192461114e-09,0.1,0.08060574010766833,0.0771447274128871,2.14290909480242e-09,1.2857454568814516e-09,1.190505052668011e-09,0.09934608549876107,0.06041658613938904,0.06037225266761595,1.584893192461114e-08,1.9662286958026913e-07,1.584893192461114e-09,apical,True
2.2387211385683378e-08,2.238721138568338e-09,0.1,0.11385863421418557,0.10891280840709054,3.0253557890858493e-09,1.8152134734515093e-09,1.6807532161588051e-09,0.09907680449748983,0.06030788498690368,0.06024529505913832,2.2387211385683378e-08,1.9662286958026913e-07,2.238721138568338e-09,apical,False
3.162277660168379e-08,3.1622776601683795e-09,0.1,0.16082959560700613,0.1537289196232926,4.270247767313685e-09,2.5621486603882105e-09,2.3723598707298247e-09,0.0986969223539892,0.06015433868037149,0.06006599386475818,3.162277660168379e-08,1.9662286958026913e-07,3.1622776601683795e-09,apical,True
4.4668359215096346e-08,4.466835921509635e-09,0.1,0.22717784208139113,0.21691820969107894,6.025505824752194e-09,3.6153034948513156e-09,3.347503235973441e-09,0.09816130060757847,0.05993709154680056,0.0598124331592729,4.4668359215096346e-08,1.9662286958026913e-07,4.466835921509635e-09,apical,True
6.30957344480193e-08,6.30957344480193e-09,0.1,0.3208972312463437,0.3059427415801427,8.498409488337299e-09,5.099045693002378e-09,4.721338604631833e-09,0.09740668737877947,0.0596297294186842,0.0594539104826026,6.30957344480193e-08,1.9662286958026913e-07,6.30957344480193e-09,apical,True
8.912509381337459e-08,8.91250938133746e-09,0.1,0.4532793871009509,0.4312216863429426,1.1978380176192854e-08,7.187028105715711e-09,6.654655653440474e-09,0.09634476491088068,0.059194538275557186,0.058946724133236074,8.912509381337459e-08,1.9662286958026913e-07,8.91250938133746e-09,apical,True
1.2589254117941662e-07,1.2589254117941663e-08,0.1,0.6402741524836834,0.6072205314591659,1.6867236984976836e-08,1.01203421909861e-08,9.370687213876019e-09,0.0948529170525254,0.058577898610244615,0.05822894158888613,1.2589254117941662e-07,1.9662286958026913e-07,1.2589254117941663e-08,apical,True
1.7782794100389227e-07,1.7782794100389228e-08,0.1,0.9044112792347178,0.8538440009520665,2.3717888915335184e-08,1.4230733349201108e-08,1.317660495296399e-08,0.09276242209863139,0.05770329370170003,0.05721260729727842,1.7782794100389227e-07,1.9662286958026913e-07,1.7782794100389228e-08,apical,True
2.5118864315095823e-07,2.5118864315095824e-08,0.1,1.2775148876993336,1.1980767656940654,3.3279910158168496e-08,1.996794609490109e-08,1.8488838976760274e-08,0.08984454548063085,0.05646156658400516,0.05577305676285208,2.5118864315095823e-07,1.9662286958026913e-07,2.5118864315095824e-08,apical,True
3.548133892335753e-07,3.548133892335753e-08,0.1,1.804537742689828,1.6755511492032582,4.65430874778683e-08,2.7925852486720974e-08,2.585727082103794e-08,0.08579725107926464,0.05469750092970496,0.05373459650228956,3.548133892335753e-07,1.9662286958026913e-07,3.548133892335753e-08,apical,True
