vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
1e-09,1e-09,0.0050858783728195,0.025979503027153353,7.216528618653712e-10,4.329917171192226e-10,4.0091825659187283e-10,0.0997797779326725,0.013369764406277332,0.013354834538952946,1e-09,1.9662286958026913e-07,OAT1,False
1.4125375446227555e-09,1.4125375446227555e-09,0.007183994148992432,0.03663600695994746,1.0176668599985408e-09,6.106001159991244e-10,5.65370477776967e-10,0.09968945619953647,0.013368349474744277,0.013347295522863819,1.4125375446227555e-09,1.9662286958026913e-07,OAT1,True
1.9952623149688828e-09,1.9952623149688828e-09,0.010147661455802011,0.05173204319740252,1.437001199927848e-09,8.622007199567087e-10,7.983339999599156e-10,0.09956149459496505,0.0133681281863158,0.013338398858429948,1.9952623149688828e-09,1.9662286958026913e-07,OAT1,False
2.8183829312644493e-09,2.8183829312644493e-09,0.014333952796441491,0.0730274811712797,2.028541143646659e-09,1.2171246861879953e-09,1.1269673020259215e-09,0.0993809851732542,0.013367673198459384,0.013325705822626883,2.8183829312644493e-09,1.9662286958026913e-07,OAT1,True
3.981071705534969e-09,3.981071705534969e-09,0.02024724648782394,0.10307696761742352,2.8632491004839872e-09,1.717949460290392e-09,1.5906939447133262e-09,0.09912627070181797,0.013367132961822483,0.013307896779363941,3.981071705534969e-09,1.9662286958026913e-07,OAT1,False
5.623413251903491e-09,5.623413251903491e-09,0.028599995839282542,0.1454258613217617,4.039607258937826e-09,2.423764355362695e-09,2.2442262549654588e-09,0.09876730290365004,0.013366192989771843,0.013282619769518396,5.623413251903491e-09,1.9662286958026913e-07,OAT1,False
7.943282347242822e-09,7.943282347242822e-09,0.040398567899041185,0.20508769921034953,5.696880533620822e-09,3.4181283201724924e-09,3.1649336297893452e-09,0.09826158150999928,0.013364835962817186,0.0132469763238146,7.943282347242822e-09,1.9662286958026913e-07,OAT1,True
1.122018454301963e-08,1.122018454301963e-08,0.05706449390638719,0.2890307780598135,8.02863272388371e-09,4.817179634330225e-09,4.460351513268727e-09,0.09755004099563998,0.013362716762366307,0.013196616781174498,1.122018454301963e-08,1.9662286958026913e-07,OAT1,False
1.584893192461114e-08,1.584893192461114e-08,0.08060574010766833,0.40693730362641745,1.130381398962271e-08,6.782288393773625e-09,6.279896660901504e-09,0.0965506106139074,0.013359312489812316,0.01312545407759803,1.584893192461114e-08,1.9662286958026913e-07,OAT1,True
2.2387211385683378e-08,2.2387211385683378e-08,0.11385863421418557,0.5721471419992763,1.5892976166646567e-08,9.53578569998794e-09,8.829431203692537e-09,0.09515021535093772,0.013353684990002288,0.013024883918651703,2.2387211385683378e-08,1.9662286958026913e-07,OAT1,False
3.162277660168379e-08,3.162277660168379e-08,0.16082959560700613,0.8028141080180653,2.230039188939071e-08,1.3380235133634423e-08,1.238910660521706e-08,0.09319497515104233,0.013344088218407818,0.012882727633048438,3.162277660168379e-08,1.9662286958026913e-07,OAT1,True
4.4668359215096346e-08,4.4668359215096346e-08,0.22717784208139113,1.1231791961417177,3.119942211504772e-08,1.871965326902863e-08,1.7333012286137624e-08,0.09047941203019584,0.013327223551882324,0.012681755809384972,4.4668359215096346e-08,1.9662286958026913e-07,OAT1,False
6.30957344480193e-08,6.30957344480193e-08,0.3208972312463437,1.5645882981777073,4.3460786060491876e-08,2.607647163629512e-08,2.4144881144717707e-08,0.08673782368655511,0.013296749834830538,0.012397613452086486,6.30957344480193e-08,1.9662286958026913e-07,OAT1,True
8.912509381337459e-08,8.912509381337459e-08,0.4532793871009509,2.1652926569303923,6.014701824806646e-08,3.6088210948839875e-08,3.34150101378147e-08,0.08164597484305577,0.013240385265811942,0.011996036570878863,8.912509381337459e-08,1.9662286958026913e-07,OAT1,True
1.2589254117941662e-07,1.2589254117941662e-07,0.6402741524836834,2.966652764679963,8.24070212411101e-08,4.944421274466605e-08,4.578167846728338e-08,0.07485327478858887,0.013134454249973674,0.01142958055449796,1.2589254117941662e-07,1.9662286958026913e-07,OAT1,True
1.7782794100389227e-07,1.7782794100389227e-07,0.9044112792347178,4.000525358087892,1.1112570439133037e-07,6.667542263479822e-08,6.173650243962798e-08,0.06608969100231397,0.012934859505886232,0.010635840713697648,1.7782794100389227e-07,1.9662286958026913e-07,OAT1,True
2.5118864315095823e-07,2.5118864315095823e-07,1.2775148876993336,5.25885615031666,1.4607933750879615e-07,8.764760250527767e-08,8.115518750488674e-08,0.05542349539889341,0.012567945876829021,0.009545790526519125,2.5118864315095823e-07,1.9662286958026913e-07,membrane,True
3.548133892335753e-07,3.548133892335753e-07,1.804537742689828,6.643256373680139,1.845348992688928e-07,1.1072093956133566e-07,1.0251938848271821e-07,0.043688676806752334,0.011944719295743532,0.0081269779049678,3.548133892335753e-07,1.9662286958026913e-07,membrane,True
5.011872336272714e-07,5.011872336272714e-07,2.548977312238174,7.946747480497159,2.207429855693656e-07,1.3244579134161932e-07,1.2263499198298087e-07,0.032639681429817546,0.011045988788775593,0.006479158145429761,5.011872336272714e-07,1.9662286958026913e-07,membrane,True
7.079457843841374e-07,7.079457843841374e-07,3.6005261539280213,8.9717326601681,2.4921479611578054e-07,1.495288776694683e-07,1.3845266450876695e-07,0.023951431670939615,0.010018180445619107,0.004862312114387148,7.079457843841374e-07,1.9662286958026913e-07,membrane,True
1e-06,1e-06,5.0858783728195,9.676822732189041,2.6880063144969565e-07,1.6128037886981736e-07,1.493336841387198e-07,0.01797476091458613,0.009072050421858187,0.0035109814824986927,1e-06,1.9662286958026913e-07,membrane,True
1.4125375446227554e-06,1.4125375446227554e-06,7.183994148992432,10.135561554117652,2.8154337650326816e-07,1.6892602590196086e-07,1.564129869462601e-07,0.014086277825887509,0.008315102292245446,0.0024904056845377626,1.4125375446227554e-06,1.9662286958026913e-07,membrane,True
1.9952623149688787e-06,1.9952623149688787e-06,10.14766145580199,10.432651242700953,2.897958678528043e-07,1.7387752071168256e-07,1.6099770436266905e-07,0.011568007789299176,0.007750874757909986,0.00175544687971107,1.9952623149688787e-06,1.9662286958026913e-07,membrane,True
2.818382931264449e-06,2.818382931264449e-06,14.33395279644149,10.627820842574257,2.9521724562706276e-07,1.7713034737623762e-07,1.6400958090392374e-07,0.009913659710920342,0.007343356534405675,0.0012357687427929712,2.818382931264449e-06,1.9662286958026913e-07,membrane,True
3.981071705534969e-06,3.981071705534969e-06,20.24724648782394,10.758265616440601,2.9884071156779454e-07,1.7930442694067671e-07,1.6602261753766363e-07,0.008807949287163075,0.00705290808220397,0.0008703563896987982,3.981071705534969e-06,1.9662286958026913e-07,membrane,True
