vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
1e-09,1e-08,0.0050858783728195,0.04567094926566141,1.2686374796017061e-09,7.611824877610236e-10,7.047985997787256e-10,0.09961287184209915,0.0015427242826689638,0.0015164781372098153,1e-09,1.9662286958026913e-07,OAT1,True
1.4125375446227555e-09,1.4125375446227554e-08,0.007183994148992432,0.06445854265834199,1.790515073842833e-09,1.0743090443056997e-09,9.947305965793517e-10,0.09945361948424003,0.001552171086237689,0.0015151281012944888,1.4125375446227555e-09,1.9662286958026913e-07,OAT1,True
1.9952623149688828e-09,1.995262314968883e-08,0.010147661455802011,0.09094589444320704,2.526274845644641e-09,1.5157649073867841e-09,1.4034860253581337e-09,0.09922910033077689,0.0015655236239239811,0.001513258909932836,1.9952623149688828e-09,1.9662286958026913e-07,OAT1,False
2.8183829312644493e-09,2.8183829312644494e-08,0.014333952796441491,0.1282496838352744,3.5624912176465117e-09,2.1374947305879066e-09,1.9791617875813954e-09,0.09891289617680263,0.0015842437812256963,0.0015105413530480556,2.8183829312644493e-09,1.9662286958026913e-07,OAT1,True
3.981071705534969e-09,3.981071705534969e-08,0.02024724648782394,0.18073812357353958,5.020503432598323e-09,3.0123020595589933e-09,2.7891685736657347e-09,0.09846797976394005,0.0016106454895541027,0.0015067790506877894,3.981071705534969e-09,1.9662286958026913e-07,OAT1,False
5.623413251903491e-09,5.623413251903491e-08,0.028599995839282542,0.2544602119148594,7.068339219857207e-09,4.241003531914324e-09,3.9268551221428924e-09,0.09784307718563515,0.001647689505261048,0.0015014565091956901,5.623413251903491e-09,1.9662286958026913e-07,OAT1,True
7.943282347242822e-09,7.943282347242822e-08,0.040398567899041185,0.3577761745307436,9.938227070298436e-09,5.962936242179061e-09,5.521237261276909e-09,0.09696732313901492,0.0016996173630350558,0.0014940108345136657,7.943282347242822e-09,1.9662286958026913e-07,OAT1,False
1.122018454301963e-08,1.122018454301963e-07,0.05706449390638719,0.5020881448191872,1.3946892911644092e-08,8.368135746986454e-09,7.748273839802272e-09,0.09574406793834715,0.0017721219877846908,0.0014835823643876336,1.122018454301963e-08,1.9662286958026913e-07,OAT1,True
1.584893192461114e-08,1.584893192461114e-07,0.08060574010766833,0.7027434973443427,1.9520652704009523e-08,1.1712391622405712e-08,1.0844807057783067e-08,0.09404322007735429,0.0018728950132392834,0.0014690429322022113,1.584893192461114e-08,1.9662286958026913e-07,OAT1,False
2.2387211385683378e-08,2.2387211385683377e-07,0.11385863421418557,0.9799336886975428,2.7220380241598417e-08,1.6332228144959048e-08,1.5122433467554673e-08,0.09169362740976557,0.0020120056471492633,0.0014488581193265648,2.2387211385683378e-08,1.9662286958026913e-07,OAT1,True
