vmax_bl,vmax_ap,Da,cl_uL_min_cm2,j_bm,j_oat1,j_cd,c_extra_mc,c_cell_mc,c_cell_cd,j_oat1_capacity,j_membrane_capacity,bottleneck,success
1e-09,1.0000000000000002e-10,0.0050858783728195,0.004873260614896576,1.353683504137938e-10,8.122101024827628e-11,7.520463911877434e-11,0.09995869198205407,0.060663023135123624,0.060660222573514826,1e-09,1.9662286958026913e-07,apical,True
1.6155980984398763e-09,1.6155980984398763e-10,0.008216735428023677,0.007872858156420293,2.1869050434500822e-10,1.312143026070049e-10,1.2149472463611567e-10,0.09993326600150017,0.06065269107284541,0.06064816670486143,1.6155980984398763e-09,1.9662286958026913e-07,apical,True
2.6101572156825333e-09,2.6101572156825333e-10,0.01327494213289856,0.012718514050689939,3.5329205696360945e-10,2.1197523417816563e-10,1.9627336497978302e-10,0.09989219197163404,0.06063526198791047,0.06062795292218019,2.6101572156825333e-09,1.9662286958026913e-07,apical,False
4.216965034285823e-09,4.216965034285823e-10,0.02144697126681031,0.02054512561972154,5.706979338811541e-10,3.4241876032869237e-10,3.1705440771175223e-10,0.09982584998323514,0.06060967366256619,0.06059786680580122,4.216965034285823e-09,1.9662286958026913e-07,apical,True
6.812920690579622e-09,6.812920690579622e-10,0.034649685995953396,0.0331858298439577,9.218286067766031e-10,5.530971640659618e-10,5.121270037647794e-10,0.09971870150919108,0.060566579011297514,0.060547507804489815,6.812920690579622e-09,1.9662286958026913e-07,apical,True
1.1006941712522103e-08,1.1006941712522104e-09,0.055979966806601,0.053597138030872044,1.4888093897464461e-09,8.932856338478675e-10,8.271163276369144e-10,0.09954568578651242,0.06049684879071995,0.060466047629252846,1.1006941712522103e-08,1.9662286958026913e-07,apical,False
1.7782794100389228e-08,1.7782794100389228e-09,0.09044112792347178,0.08654441208673858,2.40401144685385e-09,1.4424068681123096e-09,1.3355619149188054e-09,0.0992664094104625,0.06038446006295772,0.060334724787728417,1.7782794100389228e-08,1.9662286958026913e-07,apical,True
2.8729848333536684e-08,2.8729848333536685e-09,0.1461165142939186,0.139698042385035,3.880501177362084e-09,2.32830070641725e-09,2.1558339874233797e-09,0.09881585457899424,0.06020246886156357,0.060122187299537055,2.8729848333536684e-08,1.9662286958026913e-07,apical,True
4.641588833612782e-08,4.641588833612783e-09,0.23606556264391737,0.22537242955358935,6.260345265377484e-09,3.75620715922649e-09,3.47796959187638e-09,0.0980896387206561,0.059907974074298896,0.05977845722229034,4.641588833612782e-08,1.9662286958026913e-07,apical,True
7.498942093324559e-08,7.49894209332456e-09,0.3813870741146516,0.36325597520811403,1.0090443755780948e-08,6.054266253468568e-09,5.6058020865449714e-09,0.09692087381981908,0.059431022015994484,0.05922226635551856,7.498942093324559e-08,1.9662286958026913e-07,apical,True
1.21152765862859e-07,1.2115276586285901e-08,0.6161682317091793,0.5845964031627391,1.6238788976742755e-08,9.743273386045651e-09,9.021549431523752e-09,0.09504468966052337,0.05865751368915008,0.05832155828419312,1.21152765862859e-07,1.9662286958026913e-07,apical,True
1.9573417814876615e-07,1.9573417814876615e-08,0.995480223468409,0.9383208382657503,2.6064467729604178e-08,1.5638680637762505e-08,1.44802598497801e-08,0.09204635723588868,0.057400850178285334,0.056861616690886,1.9573417814876615e-07,1.9662286958026913e-07,apical,True
